"IFRS17_group_IF_RICLS_CYC","CoverageUnits","CurrRA","CurrInitExp","PVFCurrPrems","FutRIPrems","CurrRecoveries","FutRIClaims","CSM_LRecC_released","RA","BEL","PVFinRe","TotFinReIncome","TotFinReRepayment","PVRiskRI","TotPVClaims","CurrFinReIncome","CurrFinReRepayment","PVPremiums","CurrRiskRIPrems"
"2023_ODD_202",143892560851.498,9299.86271226251,0,0,0,154997.711871042,1025606.64442071,NA,70334.0650566762,NA,NA,NA,10361386.8853259,-11533621.3029371,1172234.41761127,NA,1406469.03692834,0,-1406469.03692834
"2023_Onerous_202",321560339600.718,6039.59165710544,0,0,0,100659.860951757,797773.523003283,NA,53577.9084511007,NA,NA,NA,43217798.7162187,-44110763.8570703,892965.140851678,NA,5967891.54997206,0,-5967891.54997206
"2023_Remaining_202",51377914340.2401,961.484443202437,0,0,0,16024.7407200406,156015.577186038,NA,10270.1774525332,NA,NA,NA,6022146.69948938,-6193316.32369827,171169.624208886,NA,859628.800899834,0,-859628.800899834
"2024_Non-onerous_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2024_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2024_Onerous_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2024_Remaining_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2025_NB_Non-onerous_202",821082276418.998,51734.0046627534,0,0,0,862233.411045891,6935801.85487553,NA,465059.556035928,NA,NA,NA,57172343.5158675,-64923336.1164663,7750992.60059881,NA,5292634.15409226,0,-5292634.15409226
"2025_NB_Onerous_202",3735161448091.7,106247.002521515,0,0,0,1770783.37535859,12733509.4872584,NA,864498.690164981,NA,NA,NA,121373812.175647,-135782123.678396,14408311.5027497,NA,11746666.5541129,0,-11746666.5541129
"2025_NB_Remaining_202",206545832330.29,8184.97475577842,0,0,0,136416.24592964,1076495.74107322,NA,72329.6864722345,NA,NA,NA,9557325.30531012,-10762820.0798474,1205494.77453724,NA,888923.901095417,0,-888923.901095417
"Total",329259387868.619,524026.038119893,0,0,0,8733767.30199822,74762930.2394688,NA,4528690.53849544,NA,NA,NA,775501011.581389,-850979187.22298,75478175.6415907,NA,775501011.581389,0,-95419616.9392449
