"IFRS17_group_IF_InsCLS_CYC","CurrRA","CurrInitComm","CurrInitExp","PVRenExp","CurrPremCFS","FutExpPremiums","CurrClaimsandExps","FutExpClaimsExp","CoverageUnits","CSM_LC_released_reversal","Interest_Accreted_IF","RA","BEL","ClaimsandExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotPVRenExpenses","TotCurrClaimsonly","TotCurrRenExp","TotPVExpenses","TotPVRenComm"
"2023_ODD_202",137208.481875104,515336.652728332,0,2420533.45834627,7536363.63881765,47321943.305057,2286808.03125173,16922020.6866689,0.0662336044890435,2341247.39327608,1423418.46455619,1114538.60094485,35348331.2789262,19104387.4661092,15673448.1639453,3430939.30216394,0,54452718.7450354,0,54452718.7450354,19104387.4661092,2409669.26585434,1771471.3785234,515336.652728332,2902195.18513559,492525.919281247
"2023_Onerous_202",239036.460924185,1007198.02833236,0,12517389.6269417,14185251.024149,91807973.6446718,3983941.01540309,30395261.9618802,0.0616344795886012,4380276.81989262,3296046.14109197,2372423.67872379,71068610.4454871,34154489.9471264,26114750.7731117,8039739.17401472,0,105223100.392613,0,105223100.392613,34154489.9471264,12449005.9474767,2976742.98707073,1007198.02833236,13425643.8722848,976637.924808091
"2023_Remaining_202",40448.0429179707,164633.459074754,0,872699.640483875,2351750.96630026,15281442.1387787,674134.048632845,5203492.02729598,0.0639978717863223,746587.861228959,516650.689047435,337190.455329594,11665823.2592747,5839702.5389252,4590205.72482291,1249496.81410229,0,17505525.7981999,0,17505525.7981999,5839702.5389252,868468.989150901,509500.589558091,164633.459074754,1029635.19733699,161166.208186093
"2024_NB_Non-onerous_202",546196.929334661,4296493.09085128,0,4898536.34510154,20112197.9260678,125496628.476874,9103282.15557769,46670316.706418,0.0668767641570098,5968820.79971509,3184708.56041586,3026011.34814459,89251040.7008001,55267045.996163,44479707.5228321,10787338.4733309,0,144518086.696963,0,144518086.696963,55267045.996163,4692976.34589631,4806789.0647264,4296493.09085128,5953814.94624443,1260838.60034812
"2024_NB_Onerous_202",1582985.2658159,12334324.3153505,0,39788426.4835414,48943860.2854158,302078865.16151,26383087.7635984,107873357.351869,0.0635682508130634,13703865.4141452,8407140.38749665,8291654.40990934,215577198.347717,132798036.456321,98173677.7396159,34624358.7167049,0,348375234.804037,0,348375234.804037,132798036.456321,36803739.8785771,14048763.4482479,12334324.3153505,40020562.4255397,3216822.54696258
"2024_NB_Remaining_202",168541.80812063,883043.193219495,0,1576679.29911422,4021705.88854131,23294964.453836,2809030.13534383,9127605.16373086,0.0714229137267538,1093761.32572794,403969.423205425,670497.605622808,15313871.5386549,11786288.3032931,9348229.44823326,2438058.85505989,0,27100159.841948,0,27100159.841948,11786288.3032931,1491529.55369113,1925986.94212434,883043.193219495,1826730.64548022,335201.091789085
"2024_Non-onerous_202",101841.949245566,753953.710413294,0,873049.672050229,3596994.82258447,22108445.1579463,1697365.82075943,8274095.04392945,0.0685928605567931,1072312.55185637,542043.309815933,543206.443127954,15633005.2887723,9877577.40335942,7984579.84412023,1892997.55923918,0,25510582.6921318,0,25510582.6921318,9877577.40335942,836567.945118025,943412.110346135,753953.710413294,1068860.874679,232292.929560971
"2024_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_Onerous_202",1557637.95158538,12109192.8553542,0,39060679.6706644,48068710.9661222,296588315.358329,25960632.526423,105931982.491779,0.063579290592503,13453317.4699011,8243514.89170236,8145450.02569227,211599049.698857,130457886.595063,96465849.0591519,33992037.5359107,0,342056936.293919,0,342056936.293919,130457886.595063,36131436.6978269,13851439.6710689,12109192.8553542,39291651.3690526,3160214.6712257
"2024_Remaining_202",661897.100542275,5199126.74728308,0,8810445.91261134,21282364.968627,134098289.083335,11031618.3423712,49103796.9645342,0.0649662269422537,6152489.40521742,3530834.4197844,3304672.55894412,94702889.4056933,59525201.8086607,45170551.0141218,14354650.7945389,0,154228091.214354,0,154228091.214354,59525201.8086607,8324127.40708026,5832491.59508817,5199126.74728308,9907324.96828012,1583197.56119986
"Total",10570672.3207725,58147940.3010092,0,201742682.064848,456308239.651733,2976458556.57126,176177872.012875,1099946934.00591,NA,NA,65470991.5027281,74779799.4182041,2141532607.72828,1266443870.09224,1021131119.58373,245312750.508505,0,3407976477.82051,0,3407976477.82051,1266443870.09224,194489748.386348,118029931.711866,58147940.3010092,225198870.719671,30709122.3333224
